u	du_dxi1	du_dxi2	d2u_dxi1xi2	du_dxi3	d2u_dxi2dxi3	d2u_dxi1dxi3	d3u_dxi	Coord	Node	Element
1.024271	-0.190131	-0.572555	-0.230032	0.569041	-0.167571	0.360273	-0.553334	2	5	7
3.991345	1.190555	0.282794	-0.009398	0.256479	0.877466	0.350853	0.014764	3	5	7
-5.076010	-0.669296	0.734308	0.258166	0.447436	-1.061635	0.181768	-1.062003	1	6	7
0.660181	-0.515750	-0.971307	-0.516683	0.785816	-1.537451	0.001580	-2.346254	2	6	7
5.149051	1.118043	0.200356	-0.182128	0.801062	1.063088	0.811357	0.117763	3	6	7
-3.753115	-0.488330	0.711503	0.274937	0.449054	0.102193	-0.677029	-0.187983	1	7	7
0.525019	-0.309143	-0.385752	0.047264	0.578843	0.252506	0.358947	0.196517	2	7	7
4.066148	0.932117	-0.042275	-0.404050	0.251672	-0.483555	0.297757	-0.583042	3	7	7
-4.148651	-0.306056	1.063306	0.423358	0.383425	0.205060	0.439634	0.609206	1	8	7
-0.032228	-0.745127	-0.350603	0.040158	0.508379	0.813957	-0.318503	1.637363	2	8	7
4.906699	0.734381	-0.428292	-0.408991	0.473942	-1.263332	0.179848	-1.095121	3	8	7
-2.592371	-0.098232	0.388018	0.303925	0.491692	-0.118992	-0.189105	-0.796046	1	1	8
-1.092901	0.504146	-0.728875	0.009615	0.424329	0.642232	-0.004997	0.127198	2	1	8
2.221641	0.524992	0.769219	-0.019862	-0.120674	-0.389097	0.148867	-0.075021	3	1	8
-2.752848	-0.270701	0.607912	0.110574	0.439509	-0.136148	0.089927	0.517103	1	2	8
-0.616170	0.407402	-0.549448	0.201145	0.450474	0.036892	0.000542	-0.566027	2	2	8
2.756205	0.555073	0.623416	-0.135295	0.033789	0.060450	0.046375	-0.022271	3	2	8
-2.415743	0.229558	0.041009	0.338876	0.613745	0.080206	-0.577163	-0.191687	1	3	8
-1.840782	0.518874	-0.748904	0.089361	0.548537	-0.343451	-0.091703	-0.661659	2	3	8
3.036843	0.590683	0.832827	0.175683	-0.491291	0.058835	-0.214466	-0.474855	3	3	8
-2.204540	-0.009991	0.504368	0.428693	0.442330	0.050373	0.340257	0.130108	1	4	8
-1.176324	0.724296	-0.562739	0.397935	0.434475	-0.111468	-0.806575	-0.037126	2	4	8
3.422235	0.372338	0.698211	-0.244515	-0.080647	-0.198680	0.540184	0.557050	3	4	8
-2.100680	-0.159850	0.363334	0.233781	0.491692	-0.005353	0.013832	-0.018244	1	5	8
-0.668572	0.518470	-0.583000	-0.040657	0.424329	0.023970	-0.018825	-0.080392	2	5	8
2.100967	0.692395	0.454019	0.159544	-0.120674	-0.263042	0.195794	0.190778	3	5	8
-2.313339	-0.273256	0.569233	0.143301	0.439509	-0.037297	-0.095726	-0.290308	1	6	8
-0.165696	0.485693	-0.544615	0.136035	0.450474	-0.001133	0.139191	0.363794	2	6	8
2.789994	0.681062	0.565619	0.040103	0.033789	-0.061837	0.110688	-0.197398	3	6	8
-1.801998	0.105171	0.246237	0.267269	0.613745	0.197213	0.180193	0.482527	1	7	8
-1.292245	0.479717	-0.653738	-0.029989	0.548537	0.247766	-0.237751	-0.176870	2	7	8
2.545551	0.835539	0.434397	0.138745	-0.491291	-0.583461	0.376772	0.236833	3	7	8
-1.762210	-0.122231	0.540380	0.168225	0.442330	0.057462	-0.550676	-0.687100	1	8	8
-0.741849	0.633228	-0.594518	0.176915	0.434475	0.018236	0.369873	0.554821	2	8	8
3.341588	0.734562	0.542666	0.077581	-0.080647	-0.153306	0.036117	-0.017993	3	8	8
-3.725146	-0.488130	0.545301	0.017503	0.491514	-0.050820	0.375301	-0.143779	1	1	9
0.075474	0.064042	-0.452824	0.097598	0.493200	0.122396	-0.331182	0.262034	2	1	9
3.029807	0.793651	0.251268	-0.268443	0.118857	0.119945	0.194765	0.011967	3	1	9
-4.202169	-0.444518	0.522477	-0.097035	0.449054	0.086361	-0.470517	1.028652	1	2	9
-0.053824	-0.317740	-0.336065	0.267887	0.578843	0.120715	0.464819	-0.658271	2	2	9
3.814476	0.757294	0.020888	-0.168778	0.251672	-0.112096	0.116326	-0.134761	3	2	9
-3.175704	-0.464120	0.531125	0.036658	0.499817	0.145349	0.243579	-0.355788	1	3	9
-0.343881	0.100008	-0.384806	-0.031902	0.626010	0.056502	-0.042080	0.261007	2	3	9
3.325070	0.523453	0.371573	-0.330206	0.140653	-0.278076	0.033342	-0.069316	3	3	9
-3.663183	-0.485816	0.539137	-0.134241	0.530404	0.084076	-0.130493	1.319490	1	4	9
-0.361788	-0.084411	-0.307590	0.472241	0.704168	0.125029	0.111021	-1.019228	2	4	9
3.829665	0.499774	0.019320	-0.619531	0.181162	-0.111853	-0.002199	1.670410	3	4	9
-3.233632	-0.526648	0.542578	0.091478	0.491514	0.117547	-0.340104	-0.105440	1	5	9
0.568675	0.170406	-0.348320	0.062096	0.493200	0.029716	0.413200	-0.053716	2	5	9
3.148664	0.905910	0.284781	-0.321657	0.118857	-0.045582	-0.015423	0.131037	3	5	9
-3.753115	-0.483558	0.593850	-0.055902	0.449054	0.104454	0.387041	-0.729006	1	6	9
0.525019	-0.279561	-0.274430	0.162169	0.578843	-0.146223	-0.319640	-0.569156	2	6	9
4.066148	0.906641	-0.012117	-0.258413	0.251672	0.174675	0.262434	0.187549	3	6	9
-2.675886	-0.392489	0.527978	0.164564	0.499817	-0.095011	-0.038159	0.656102	1	7	9
0.282128	0.218211	-0.295194	0.017854	0.626010	0.064863	0.224360	-0.041086	2	7	9
3.465722	0.566253	0.359910	-0.412532	0.140653	0.186478	-0.009946	-0.471184	3	7	9
-3.132779	-0.486237	0.617528	-0.134955	0.530404	0.096360	0.103274	-0.851489	1	8	9
0.342380	-0.046007	-0.180905	0.420255	0.704168	0.113400	-0.044587	1.034281	2	8	9
4.010827	0.522539	-0.087781	-0.822043	0.181162	-0.143221	0.023355	-2.106124	3	8	9
-4.212168	-0.599916	0.411784	0.088684	0.512779	0.072745	0.256561	0.305248	1	1	10
0.544409	0.091838	-0.503563	-0.019358	0.487436	-0.055266	-0.219506	-0.012624	2	1	10
2.769973	0.989455	0.326965	-0.092059	0.095353	-0.286941	0.174137	-0.601511	3	1	10
-4.844774	-0.690929	0.557581	0.227693	0.464264	0.202480	-0.302786	-0.008850	1	2	10
0.455230	-0.317782	-0.567010	-0.073104	0.569041	0.083811	0.469872	0.398854	2	2	10
3.734866	0.886515	0.256818	-0.032836	0.256479	-0.763012	0.298353	0.145354	3	2	10
-3.725146	-0.488130	0.526614	0.120917	0.491514	0.005960	0.375301	0.210431	1	3	10
0.075474	0.064042	-0.435843	-0.021016	0.493200	0.036298	-0.331182	-0.256434	2	3	10
3.029807	0.793651	0.239919	-0.233047	0.118857	0.084778	0.194765	0.170988	3	3	10
-4.202169	-0.444518	0.688080	0.253318	0.449054	-0.040711	-0.470517	-0.188219	1	4	10
-0.053824	-0.317740	-0.454029	0.047133	0.578843	-0.026447	0.464819	0.164840	2	4	10
3.814476	0.757294	-0.002384	-0.191713	0.251672	0.235259	0.116326	-0.148199	3	4	10
